Arts_and_Entertainment~Celebrities_and_Entertainment_News,Arts_and_Entertainment~Humor,Arts_and_Entertainment~Movies,Arts_and_Entertainment~Music_and_Audio,Arts_and_Entertainment~Other,Arts_and_Entertainment~Performing_Arts,Arts_and_Entertainment~Photography,Arts_and_Entertainment~TV_and_Video,Arts_and_Entertainment~Visual_Arts_and_Design,Autos_and_Vehicles~Automotive_Industry,Autos_and_Vehicles~Boating,Autos_and_Vehicles~Car_Buying,Autos_and_Vehicles~Other,Beauty_and_Fitness~Fitness,Beauty_and_Fitness~Other,Business_and_Industry~Business_Services,Business_and_Industry~Marketing_and_Advertising,Business_and_Industry~Publishing_and_Printing,Business_and_Industry~Real_Estate,Business_and_Industry~Transportation_and_Logistics,Career_and_Education~Education,Career_and_Education~Other,Career_and_Education~Universities_and_Colleges,Computer_and_Electronics~Computer_Hardware,Computer_and_Electronics~Computer_Security,Computer_and_Electronics~Consumer_Electronics,Computer_and_Electronics~Graphics_and_Multimedia_Tools,Computer_and_Electronics~Other,Computer_and_Electronics~Programming,Computer_and_Electronics~Software,Finance~Banking,Finance~Financial_Management,Finance~Insurance,Finance~Investing,Finance~Other,Food_and_Drink~Cooking_and_Recipes,Food_and_Drink~Food_and_Grocery_Retailers,Food_and_Drink~Other,Food_and_Drink~Restaurants_and_Delivery,Games~Online,Games~Other,Games~Video_Games,Health~Conditions_and_Diseases,Health~Medicine,Health~Other,Health~Products_and_Shopping,Internet_and_Telecom~Ad_Network,Internet_and_Telecom~Chats_and_Forums,Internet_and_Telecom~Email,Internet_and_Telecom~File_Sharing,Internet_and_Telecom~Mobile_Developers,Internet_and_Telecom~Online_Marketing,Internet_and_Telecom~Web_Design,Law_and_Government~Government,News_and_Media~Business_News,News_and_Media~Magazines_and_E-Zines,News_and_Media~Newspapers,News_and_Media~Other,News_and_Media~Sports_News,News_and_Media~Technology_News,News_and_Media~Weather,People_and_Society~Other,People_and_Society~Religion_and_Spirituality,Reference~Dictionaries_and_Encyclopedias,Reference~Directories,Reference~Maps,Science~Biology,Science~Social_Sciences,Shopping~Children,Shopping~Clothing,Shopping~Consumer_Electronics,Shopping~Coupons,Shopping~Home_and_Garden,Shopping~Other,Shopping~Sports,Sports~Other,Travel~Accommodation_and_Hotels,Travel~Airlines_and_Airports,Travel~Other,Travel~Tourism,uid
,5.0,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,5.0,5.0,4.0,,,,,4.0,,0.0,,,0.0,,,,,,,,,,,,0.0,,5.0,5.0,,,,204631
,4.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,3.0,,,0.0,0.0,,,,,,0.0,,,4.0,,,,4.0,4.0,,,3.0,,0.0,,1.0,0.0,,3.0,,3.0,,0.0,0.0,,3.0,0.0,,3.0,,,,,,,,0.0,,0.0,,,,,,,323972
,,,,,,,0.0,,,,,,,,0.0,6.0,,6.0,,,,,,,,,,0.0,,,,,,,6.0,,,,,,6.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,6.0,0.0,0.0,,,,,,,,6.0,,,,,,0.0,255507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290034
,,,0.0,1.0,,,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,,,,3.0,,,4.0,,0.0,,,,,,,,,3.0,4.0,,,3.0,,3.0,,0.0,1.0,,,2.0,3.0,,,4.0,,,1.0,,,0.0,3.0,,,,,,,,,,2.0,,1.0,,1.0,2.0,,,,296069
2.0,,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,,,0.0,0.0,,0.0,,6.0,4.0,0.0,,3.0,1.0,,5.0,,0.0,,,5.0,1.0,,,6.0,,4.0,,,0.0,,,2.0,,,2.0,0.0,0.0,0.0,2.0,3.0,4.0,,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,,,,,,,,3.0,,0.0,,3.0,2.0,,,,30503
,,,3.0,,,5.0,,,,,,,,4.0,5.0,2.0,,0.0,,,,,,,2.0,,2.0,,2.0,,0.0,,,,5.0,,,,,,,,,1.0,,,,,,,5.0,,,,2.0,,0.0,,,2.0,,,,,,,,,,,,,5.0,,5.0,5.0,,,,207530
,3.0,,1.0,1.0,,3.0,0.0,,,3.0,3.0,,,,1.0,0.0,,4.0,,1.0,,,,0.0,,2.0,0.0,,2.0,,,,,,,,,,0.0,,,,,,,2.0,2.0,,,1.0,0.0,,,3.0,1.0,0.0,0.0,1.0,,,0.0,3.0,,,,4.0,,,,,,,0.0,,2.0,2.0,,,,153619
,5.0,,0.0,1.0,,1.0,0.0,,1.0,0.0,,1.0,,,1.0,0.0,,,,,1.0,,,0.0,3.0,0.0,5.0,,0.0,,,,1.0,,1.0,,,1.0,2.0,,,,,3.0,,0.0,,0.0,,0.0,0.0,,,,,,0.0,5.0,,,1.0,,,5.0,0.0,,,,1.0,,,,0.0,0.0,2.0,,,,,10015
,,3.0,,3.0,,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,,4.0,4.0,,,,,,0.0,,,,,,,,,,,,4.0,,,,4.0,,,,,,2.0,2.0,2.0,,4.0,,,0.0,,,,3.0,,,,,2.0,,,,,,,268011
